"CubeId";"zimoma"
"PublishingDate";"2023-04-03 14:30"

"Date";"D0";"Value"
"1972-01";"SARON";
"1972-01";"1TGT";"0"
"1972-01";"EG3M";
"1972-01";"3M0";
"1972-01";"SOFR";
"1972-01";"3M1";
"1972-01";"TONA";
"1972-01";"3M2";
"1972-01";"SONIA";
"1972-01";"3M3";
"1972-01";"ESTR";
"1972-01";"EURIBOR";
"1972-01";"3M4";
"1972-02";"SARON";
"1972-02";"1TGT";"0"
"1972-02";"EG3M";
"1972-02";"3M0";
"1972-02";"SOFR";
"1972-02";"3M1";
"1972-02";"TONA";
"1972-02";"3M2";
"1972-02";"SONIA";
"1972-02";"3M3";
"1972-02";"ESTR";
"1972-02";"EURIBOR";
"1972-02";"3M4";
"1972-03";"SARON";
"1972-03";"1TGT";"0.125"
"1972-03";"EG3M";
"1972-03";"3M0";
"1972-03";"SOFR";
"1972-03";"3M1";
"1972-03";"TONA";
"1972-03";"3M2";
"1972-03";"SONIA";
"1972-03";"3M3";
"1972-03";"ESTR";
"1972-03";"EURIBOR";
"1972-03";"3M4";
"1972-04";"SARON";
"1972-04";"1TGT";"0.25"
"1972-04";"EG3M";
"1972-04";"3M0";
"1972-04";"SOFR";
"1972-04";"3M1";
"1972-04";"TONA";
"1972-04";"3M2";
"1972-04";"SONIA";
"1972-04";"3M3";
"1972-04";"ESTR";
"1972-04";"EURIBOR";
"1972-04";"3M4";
"1972-05";"SARON";
"1972-05";"1TGT";"1.5"
"1972-05";"EG3M";
"1972-05";"3M0";
"1972-05";"SOFR";
"1972-05";"3M1";
"1972-05";"TONA";
"1972-05";"3M2";
"1972-05";"SONIA";
"1972-05";"3M3";
"1972-05";"ESTR";
"1972-05";"EURIBOR";
"1972-05";"3M4";
"1972-06";"SARON";
"1972-06";"1TGT";"1.625"
"1972-06";"EG3M";
"1972-06";"3M0";
"1972-06";"SOFR";
"1972-06";"3M1";
"1972-06";"TONA";
"1972-06";"3M2";
"1972-06";"SONIA";
"1972-06";"3M3";
"1972-06";"ESTR";
"1972-06";"EURIBOR";
"1972-06";"3M4";
"1972-07";"SARON";
"1972-07";"1TGT";"0"
"1972-07";"EG3M";
"1972-07";"3M0";
"1972-07";"SOFR";
"1972-07";"3M1";
"1972-07";"TONA";
"1972-07";"3M2";
"1972-07";"SONIA";
"1972-07";"3M3";
"1972-07";"ESTR";
"1972-07";"EURIBOR";
"1972-07";"3M4";
"1972-08";"SARON";
"1972-08";"1TGT";"0"
"1972-08";"EG3M";
"1972-08";"3M0";
"1972-08";"SOFR";
"1972-08";"3M1";
"1972-08";"TONA";
"1972-08";"3M2";
"1972-08";"SONIA";
"1972-08";"3M3";
"1972-08";"ESTR";
"1972-08";"EURIBOR";
"1972-08";"3M4";
